model,best_cv_rmse,best_params,n_candidates,total_fits,elapsed_min
xgb,0.7119757414776784,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 600, 'subsample': 0.8}",32,160,8.74153629541397
rf,0.7353143996993843,"{'max_depth': 20, 'n_estimators': 800}",9,45,51.878703574339546
mlp,0.7404394288408702,"{'alpha': 1e-05, 'hidden_layer_sizes': (100, 100)}",9,45,8.448976520697276
ridge,1.1067298957405352,{'alpha': 1.0},5,25,0.1278197685877482
